Order Date,Sales,Possible Explanation
2015-01-04,304.508,Post-holiday decline in demand
2015-02-08,968.534,Temporary decline in customer demand or supply disruption
2015-02-22,224.912,Temporary decline in customer demand or supply disruption
2015-03-22,37703.665,Large promotional event or bulk customer orders
2015-07-19,1387.686,Temporary decline in customer demand or supply disruption
2015-09-13,29959.137,Large promotional event or bulk customer orders
2016-01-24,358.522,Post-holiday decline in demand
2017-12-17,25449.8,Festive season / Holiday sales
2018-11-04,29017.467,Festive season / Holiday sales
2018-11-18,30572.447,Festive season / Holiday sales
2018-12-02,35998.9,Festive season / Holiday sales
